name,gender
Édgar+Flores+Galván,Male
Jean-Joseph+Raikem,Male
Vilnis+Edvīns+Bresis,Male
Zhang+Qilong,Male
Arístides+Victoria+Yeb,Male
Iurie+Leancă,Male
Tenka+Stefanović,Male
Sverker+Thorén,Male
Tomoyoshi+Watanabe,Unknown
Saško+Kedev,Male
Émile+Keller,Male
Mykhailo+Horyn,Male
P.+Asaiyan,Unknown
Louis-Mathieu+Molé,Male
Refo+Çapari,Unknown
Krishna+Gopal+Patel,Male
Kotagiri+Vidyadhara+Rao,Male
Ananías+Maidana,Male
Chen+Tiexin,Male
Emperor+Dezong+of+Tang,Unknown
Zaharije+Trnavčević,Male
Hou+Sizhi,Unknown
Vančo+Šontevski,Male
Meng+Fangli,Unknown
Ataurrehman,Male
Sigvald+Oppebøen+Hansen,Male
Jeptha+J.+Kendrick,Unknown
Noor+Farah+Hersi,Male
Laxminarayan+Sharma,Male
Gaëtan+Jabeemissar,Male
Fofó+Iosefa+Fiti+Sunia,Male
Manohara+Maski,Male
Solofonantenaina+Razoarimihaja,Male
"Antônio+de+Queirós+Teles,+Baron+of+Jundiaí",Male
So+Chol,Male
Jaša+Tomić,Unknown
Atsutsè+Kokouvi+Agbobli,Male
Đỗ+Mười,Male
Chandra+Gunasekera,Male
Zhang+Yi+(Bogong),Female
Gypsy+(calypsonian),Male
Óscar+Luebbert,Male
Xiao+Qing,Female
Wang+Fuchen,Unknown
P+Kumar,Male
Hieronymus+Heyerdahl+(1773–1847),Male
Előd+Novák,Male
Delio+Hernández+Valadés,Male
Andrea+Zafferani,Male
H.+H.+Maxwell,Unknown
Zhao+Zengyi,Male
Makhdoom+Muhammad+Zaman+Talib-ul-Mola,Male
Pierre-Alpinien+Bourdeau,Male
Chandra+Maharjan,Male
Boldizsár+Horvát,Male
Miklós+Borz,Male
Antal+Gábor+Hollósi,Male
Breandán+Mac+Cionnaith,Male
Sahabi+Alhaji+Yaú,Male
Wynn+Normington+Hugh-Jones,Male
G.+S.+Basavaraj,Male
Simón+Iturri+Patiño,Male
Elżbieta+Polak,Female
Kiran+Ahuja,Male
Guénhaël+Huet,Male
Guri+Melby,Female
"Moe+Mantha,+Sr.",Male
Pavao+Muhić,Male
El-Sayyid+el-Badawi,Male
Kuoy+Bunroeun,Male
Suswono,Male
Seán+Brosnahan,Male
Aníbal+Cavaco+Silva,Male
Jean+Raffin-Dugens,Male
Yang+Yue+(politician),Male
Jean+de+Chantelauze,Male
Seiji+Suzuki,Male
Liang+Chongyi,Male
P.+K.+Le+Roux,Male
Kang+Ki-sop,Female
Garrelt+Duin,Male
Kamana+Prabhakara+Rao,Male
Lou+Yangsheng,Male
Auguste-Nicolas+Vaillant,Unknown
Harcharan+Bains,Male
Efraím+Cardozo,Male
Jean+Mattéoli,Male
Jaime+Pérez,Male
Pietari+Päivärinta,Male
Nguyễn+Trường+Tô,Male
Nanda+Gunasinghe,Male
Naranbhai+Kachhadia,Male
Khagaraj+Adhikari,Male
Jiang+Shusheng,Male
Jean-César+Vincens-Plauchut,Male
Moon+Dae-sung,Unknown
D.+K.+Suresh,Male
Cuauhtémoc+Velasco+Oliva,Male
Jean-Félix+Tchicaya,Male
Ganiyu+Adams,Male
Lu+Ji+(Gongji),Male
Patterk+Netser,Male
"Aimé,+duc+de+Clermont-Tonnerre",Male
M.+S.+M.+Aslam,Male
Gustav+Andersson+i+Löbbo,Male
Kang+Hyong-bong,Male
N.+N.+Krishnadas,Male
Özker+Özgür,Male
Du+Zhenglun,Unknown
Liu+Geping,Male
N.S.Chandra+Bose,Male
Chandra+Bhushan+Singh,Male
Shantha+Abeysekara,Male
Éric+Faurot,Male
Yashvir+Singh,Male
Sebastián+Piñera,Male
Lekhraj+Bachani,Female
Uddaraju+Ramam,Male
Li+Zhuoran,Female
Singireddy+Harivardhan+Reddy,Male
Bur’i+Mohamed+Hamza,Unknown
Sybi+Hida,Male
Panini+Ilangakoon,Male
Jan+Gmelich+Meijling,Male
B.+Parthasarathy,Male
Max-Théodore+Cerfberr,Male
Elías+Cárdenas+Márquez,Male
K.+M.+Koushik,Male
Estácio+Coimbra,Male
Chen+Xi,Female
Donati+Salla,Male
Wang+Dongfeng,Male
Itzcóatl+Tonatiuh+Bravo+Padilla,Male
Kunj+Bihari+Lal+Rathi,Female
"Somerset+Maxwell,+8th+Baron+Farnham",Male
Jan+Smallenbroek,Male
Siân+Berry,Female
Y.+V.+Subba+Reddy,Male
Germán+Sierra+Sánchez,Male
Bai+Jinian,Unknown
Toralv+Øksnevad,Male
Krishnendu+Narayan+Choudhury,Male
Pomponne+de+Bellièvre,Male
Össur+Skarphéðinsson,Male
Managobinda+Samal,Male
Alfréd+Meissner,Male
Eruviel+Ávila+Villegas,Male
Writings+of+Cicero,Unknown
Chen+Yulu,Male
Ri+Pyong-sam,Unknown
Ismaël+Touré,Male
Abraha+Asfaha,Unknown
Phanduangchit+Vongsa,Male
"García+de+Toledo+Osorio,+6th+Marquis+of+Villafranca",Unknown
Ma+Zhou,Female
Augustine+Bockarie,Male
Valentín+González+Bautista,Male
Jean+Leclercq+(politician),Unknown
Nikollë+Kaçorri,Male
Liu+Chang+(Jixing),Male
Du+Xinwu,Male
R.+S.+Ratnakar,Male
Maj-Len+Grönholm,Female
Shi+Shouxin,Unknown
Plínio+de+Arruda+Sampaio,Male
Silbestre+Álvarez+Ramón,Male
Alpheus+ǃNaruseb,Male
Jia+Su,Male
Satyanarayan+Patel,Male
Y.+Hewoto+Awomi,Male
Tristão+Ferreira+da+Cunha,Male
"Eiler+Hagerup+Krog+Prytz,+Sr.",Male
Agvald+Gjelsvik,Male
Liu+Jianzhang,Unknown
Heiða+Kristín+Helgadóttir,Female
Suhla+Masango,Male
Marie-Odile+Bouillé,Female
Ejup+Ganić,Male
Ingelbrecht+Knudssøn,Male
Jean+Ernest+Rakotonomenjanahary,Male
Khachatur+Malumian,Male
M.+Manickam,Male
Teófilo+Torres+Corzo,Male
Niceto+Alcalá-Zamora,Male
Zeng+Wei,Male
Michele+D'Amico,Male
Shen+Lyu-shun,Male
Didalco+Bolívar,Male
Li+Yifu,Male
Fan+Tai,Unknown
Parbat+Patel,Male
Debomoy+Sanyal,Male
Bolesław+Piecha,Male
Durga+Prasad+Yadav,Male
Shi+Xiong,Unknown
"Alexandre-Théodore-Victor,+comte+de+Lameth",Female
Anatolie+Ghilaș,Male
Nurudin+N.+Mukhitdinov,Male
Gilmour+Anderson,Male
Kustaa+Vilkuna,Male
Cheng+Li-wen,Female
Li+Qi+(Five+Dynasties),Unknown
Diongolo+Traore,Male
Håkan+Juholt,Male
Li+Gu+(Later+Zhou),Unknown
Abdiweli+Ibrahim+Ali+Sheikh+Muudey,Male
Seán+Browne,Male
Farkas+Bethlen+(1639–1679),Male
N.+R.+Govindarajar,Male
Yun+Posun,Male
Richárd+Tarnai,Male
Árni+Magnússon+(Minister+of+Social+Affairs),Male
Étienne+Djaument,Male
Thélus+Léro,Male
Jaya+Prakhash+Narayan,Male
Seán+Rogers,Male
Loren+LaSells+Stewart,Unknown
Rajdeo+Singh,Male
Jean+Silvandre,Unknown
Du+Shanxue,Male
Zhang+Jun+(politician),Male
Klaus-Peter+Willsch,Male
Jan+Keller,Male
Čedomir+Jovanović,Male
Charti+Lal+Goel,Male
Parmukh+Singh+Hoogan,Male
Sagala+Ratnayaka,Male
Manea+Mănescu,Male
Bhim+Acharya,Male
Hakon+Magne+Valdemar+Wrangell,Male
Mátyás+Rákosi,Male
Sambhaji+Patil+Nilangekar,Male
Yi+Cheol-seung,Male
P.R.+Natarajan,Male
Andrea+Zanoni,Male
Jean-Bertrand+Ewanga,Male
Mihael+Zmajlović,Male
Motleb+bin+Abdullah+Al-Nafisah,Male
Tabaré+Vázquez,Male
Bolesław+Roja,Male
Sigmundur+Davíð+Gunnlaugsson,Male
A.+H.+M.+Fowzie,Male
Jan+Ziobro+(politician),Male
Steingrímur+J.+Sigfússon,Male
Gabriëlle+Popken,Female
Jean+Gustave+Stanislas+Bevers,Male
Seán+Hartney,Male
Tazewell+Branch,Unknown
Keohokālole,Unknown
Wimalaweera+Dissanayake,Male
Mykhailo+Burmystenko,Male
Isphanyar+M.+Bhandara,Male
Émile+Pelletier,Male
Monnie+T.+Cheves,Male
Kotha+Prabhakar+Reddy,Male
Zhu+Can,Unknown
Raje+Vishveshvar+Rao,Male
Seán+an+tSalainn+French,Male
Tetsuji+Nakamura,Male
Koahou,Male
Onsari+Gharti+Magar,Male
Sidney+A.+von+Luther,Unknown
Jan+Peeters+(politician),Male
Garibaldi+Alves,Male
İbrahim+Özdiş,Male
Wilho+Sipilä,Male
Fejzi+Alizoti,Male
António+Bagão+Félix,Male
Arumugam+Thondaman,Male
Haber+Amin+Asarul,Unknown
He+Shikai,Unknown
