from,to
1031322,992792
1031322,715372
1031322,601735
1031377,610644
1031538,1011172
1031538,1082884
1031538,919412
1031558,325068
1031558,421198
1031749,859940
1031749,554382
10318,744929
10318,852601
1031816,821960
1031816,339538
1031816,832524
1031816,257890
1031935,800619
1031935,46545
1031935,257336
1031945,284845
1031972,79977
1032052,407691
1032052,266194
1032376,702012
1032459,401062
1032459,957275
1032459,828143
1032459,309936
1032494,458523
1032494,805092
1032494,386402
1032494,62420
1032494,824351
1032494,671272
1032515,27781
1032515,168402
1032515,786492
1032521,1028949
1032529,190701
1032529,1035012
1032529,899080
1032729,360742
1032729,395678
1032729,582073
1032729,792762
1032729,161063
1032729,51802
103280,769552
103280,284707
103280,723141
1032827,596578
1032835,149052
1032883,517553
1032883,942774
1032883,1149283
1033006,89447
10331,376483
1033120,1122994
1033120,843335
1033120,1135327
1033121,945988
1033121,500244
103317,685509
103317,702012
103317,191623
1033173,9243
1033173,847881
1033173,1001325
1033173,734157
1033173,943849
1033173,132544
1033173,206310
1033173,610095
1033216,565421
1033230,646238
1033230,710473
1033230,1147411
1033230,938599
1033230,1069520
1033230,386402
1033230,146884
1033230,601132
1033261,689012
1033261,228676
1033261,72265
1033261,210330
1033261,420178
1033265,243781
1033265,213663
1033265,247793
1033265,102093
1033265,1133793
1033265,657192
1033388,1094415
1033388,1139928
1033388,554382
1033388,773112
1033388,771352
1033388,71357
1033388,803946
1033388,226284
1033388,10957
1033388,971748
1033388,630486
1033388,386827
1033388,610418
1033388,903347
1033388,345508
1033388,929510
1033388,479851
1033388,33605
1033388,1081159
1033388,178898
1033388,385406
1033388,56816
1033445,170837
1033445,649969
1033450,207552
1033450,415015
1033450,795168
1034334,293900
1034334,668252
1034375,559943
1034540,1017366
1034540,222972
1034540,807708
1034602,309880
1034682,709527
1034682,290017
1034682,535212
1034682,800125
1034754,368073
1034948,1118769
1034948,301176
1035012,76275
1035012,1032529
1035012,588364
1035012,328170
1035142,16024
1035142,6375
1035227,721174
1035227,346846
1035227,390308
1035227,290017
1035227,386827
1035227,423610
1035227,145724
1035227,386870
1035320,854610
1035441,70248
1035441,1044476
1035441,25103
1035671,284549
1035671,355827
1035671,62246
1035671,12275
1035671,812288
1035671,115181
1035855,36337
1035855,54522
1035875,68633
1035875,275243
1035971,182509
1035971,1039414
1035971,1112044
1035971,797537
1035971,386402
103600,274989
103600,967536
1036163,923365
1036184,189488
1036184,981590
1036184,969177
1036184,866515
1036234,110802
1036484,21971
1036567,651361
1036603,796159
1036610,215716
1036701,223295
1036769,1013020
1036769,30767
1036828,442217
103685,658012
103685,498258
103685,744117
103685,3894
103685,408736
1036860,155417
1036860,376972
1036860,386827
1036860,610095
1036860,324367
1036860,591191
1036860,267227
1036860,477272
1036860,545363
1036860,771979
1036860,268502
1037081,571314
1037081,1020421
1037081,389523
1037081,674086
1037081,646481
1037081,484076
1037081,436306
1037081,928052
1037081,183358
1037081,588431
1037081,594316
1037081,359629
1037081,51114
1037081,312408
1037081,93730
1037580,116055
1037616,877288
1037616,654177
1037616,949941
1037624,844385
1037624,1000115
1037624,1071629
1037624,793108
1037679,679966
1037679,306031
1037679,759765
1037679,187827
1037679,1052392
1037705,704801
1037705,1144196
1037705,943876
1037705,1033265
1037817,168402
1037817,885102
1037847,480481
1037847,484442
1037847,656684
1037847,692130
1037849,1149506
1037849,958349
1037849,788410
1037849,311883
1038296,412178
1038296,223366
1038331,865358
1038331,1076418
1038331,234137
1038331,694232
1038398,798796
1038398,554382
1038427,1042250
1038526,458637
1038526,243054
1038526,679817
1038526,386870
1038526,290017
1038526,281360
1038608,526871
1038684,1013405
1038858,780037
1039008,628248
1039008,312393
1039218,275161
1039218,1033388
1039218,28265
1039218,1093682
1039218,1094415
1039218,444420
1039218,202510
1039219,193419
1039219,1158181
1039219,802448
1039261,893677
1039291,845354
1039291,585648
1039314,145447
1039321,95405
1039321,878963
1039321,1149219
1039321,952754
1039321,1139891
1039321,902973
1039321,461493
1039321,890259
103939,828282
103939,298406
1039414,671272
1039414,386402
1039627,284436
1039627,212671
1039679,795494
1039760,729356
1039854,119553
1039900,194173
1039900,688578
1039944,27781
1040038,530983
1040038,277693
1040065,399262
1040065,497636
1040065,513456
1040074,1136943
1040074,785586
1040078,775108
1040078,114791
1040078,338575
1040078,77059
1040078,580287
1040078,60154
1040078,277216
1040078,1107964
1040078,597637
1040078,48599
1040078,717692
1040320,874226
1040521,1118769
1040570,1023964
1040570,714368
1040609,756126
1040609,360740
1040609,827580
1040609,658012
1040710,577452
1040792,454350
1040926,212524
1040926,802718
1040926,497636
1040926,643351
1040926,411589
1040926,370853
1041215,492448
1041215,894679
1041215,898717
1041215,592720
1041215,1118769
1041215,1117898
1041325,1145738
1041325,704801
1041325,823456
1041325,875887
1041325,1123245
1041325,963674
1041325,1072492
1041325,1094217
1041325,468550
1041811,800585
1041821,923365
1041821,105000
1042069,647627
1042069,1104990
1042069,687813
1042069,647332
1042069,222814
1042069,1063300
1042072,622407
1042072,628248
1042072,312393
1042072,399114
1042107,349984
1042107,1044531
1042250,734157
1042250,88485
1042250,235101
1042250,596158
1042250,688459
1042250,517540
1042280,145543
1042280,94816
1042280,771352
1042359,242813
1042583,887528
1042583,309198
1042583,414949
1042583,958697
1042583,276307
1042601,567692
1042601,1149219
1042601,792590
1042627,685013
1042627,642205
1042627,792932
1042627,42645
1042639,27085
1043013,175429
1043013,854919
1043013,580596
1043307,81474
1043307,488099
1043307,1128904
1043388,538891
1043395,1145774
1043395,781715
1043395,883177
1043395,248896
1043395,1037679
1043395,855108
1043395,1052392
1043395,64454
1043395,759765
1043395,1133682
1043395,596782
1043395,374050
1043395,802522
1043395,954881
1043395,165082
1043395,1079815
1043449,58537
1043449,385059
1043468,240507
1043527,801638
1043627,559943
1043627,1161613
1043657,923156
1043801,155861
1043801,187930
1043801,598076
1043801,1131051
1044258,587775
1044258,553778
1044442,408821
1044442,1080006
1044442,615043
1044476,1035441
1044476,25103
1044476,558946
1044498,658012
1044498,549259
1044498,975890
1044498,847352
1044498,766948
1044498,302306
1044531,843103
1044531,1042107
1044597,514497
1044597,879690
1044597,831179
1044597,674768
1044597,843335
1044597,835857
1044597,237624
1044597,470894
1044597,524374
1044597,773668
1044597,426658
1044597,800390
1044597,859940
1044597,479851
1044597,186911
1044597,1135327
1044597,1011282
1044597,312408
1044597,554382
1044707,884911
1044968,426796
1045119,218207
1045119,932946
1045544,843335
1045745,592169
1045745,1150452
1045745,464580
1045915,51340
1045934,978540
1045934,223264
1045934,377436
1045934,549259
1045970,863803
1045970,956582
1045970,1066078
1045970,541963
1046011,433139
1046011,775108
1046011,1107964
1046011,587687
1046011,48599
1046011,679599
1046224,341866
1046252,615577
1046252,42645
1046252,545843
