name_q,name_u,views
Abdel_Rahman_Swar_al-Dahab,Abdel_Rahman_Swar_al-Dahab,5970.0
Abdelaziz_Belkhadem,Abdelaziz_Belkhadem,8764.0
Abdelaziz_Bouteflika,Abdelaziz_Bouteflika,63649.0
Abdelhafid_Boussouf,Abdelhafid_Boussouf,1490.0
Abderrachid_Boukerzaza,Abderrachid_Boukerzaza,327.0
Abderrahmane_Far%C3%A8s,Abderrahmane_Farès,113.0
Abderrahmane_Youssoufi,Abderrahmane_Youssoufi,2738.0
Abdiqasim_Salad_Hassan,Abdiqasim_Salad_Hassan,16366.0
Abdirahman_Ahmed_Ali_Tuur,Abdirahman_Ahmed_Ali_Tuur,785.0
Abdirahman_Jama_Barre,Abdirahman_Jama_Barre,21.0
Abdirizak_Haji_Hussein,Abdirizak_Haji_Hussein,2292.0
Abdol_Hossein_Sardari,Abdol_Hossein_Sardari,3256.0
Abdolhossein_Hazhir,Abdolhossein_Hazhir,1961.0
Abdollah_Javadi-Amoli,Abdollah_Javadi-Amoli,1823.0
Abdolreza_Mesri,Abdolreza_Mesri,151.0
Abdolvahed_Mousavi_Lari,Abdolvahed_Mousavi_Lari,1058.0
Abdou_Diouf,Abdou_Diouf,16243.0
Abdou_Labo,Abdou_Labo,1115.0
Abdou_Latif_Gu%C3%A8ye,Abdou_Latif_Guèye,467.0
Abdoulaye_Bathily,Abdoulaye_Bathily,1408.0
Abdoulaye_S%C3%A9kou_Sow,Abdoulaye_Sékou_Sow,927.0
Abdoulaye_Wade,Abdoulaye_Wade,36337.0
Abdul%27ahat_Abdulrixit,Abdul'ahat_Abdulrixit,2115.0
Abdul-Halim_Sadulayev,Abdul-Halim_Sadulayev,4929.0
AbdulWahab_Raweh,AbdulWahab_Raweh,784.0
Abdul_Ali_Mazari,Abdul_Ali_Mazari,8533.0
Abdul_Azeez_Abdul_Rahim,Abdul_Azeez_Abdul_Rahim,1012.0
Abdul_Aziz_Abdul_Ghani,Abdul_Aziz_Abdul_Ghani,2727.0
Abdul_Aziz_Shamsuddin,Abdul_Aziz_Shamsuddin,2565.0
Abdul_Fattah_Ismail,Abdul_Fattah_Ismail,4293.0
Abdul_Ghani_Othman,Abdul_Ghani_Othman,4212.0
