name_u,views
Mira_Spivak,1762.0
Mita_Teriipaia,707.0
Mohammad_Khan_Qajar,42538.0
Mohammad_Natsir,7825.0
Mohammad_Reza_Aref,23415.0
Moshe_Sneh,4017.0
Mostafa_Kavakebian,4128.0
Mridula_Sinha,35809.0
Muhammad_Aslam_Khan_Khattak,5395.0
Murali_(Malayalam_actor),91064.0
Myqerem_Tafaj,1949.0
Nahum_Langental,635.0
Nambaryn_Enkhbayar,19288.0
Nancy_Boyda,8993.0
Nancy_Shukri,13910.0
Navin_Maharaj,793.0
Nessa_Childers,9777.0
Ngo_Dinh_Diem,274530.0
Nicole_Collier,4000.0
Nikki_Haley,2282844.0
Nino_Host_Venturi,997.0
Nixon_Kiprotich_Korir,1997.0
Nizamettin_Erkmen,916.0
Olav_Kringen,727.0
Ole_Henrik_Magga,3783.0
Omar_Oussedik,921.0
Omar_Pasha_Vrioni_II,1422.0
Otis_Johnson,9158.0
Ottaviano_Del_Turco,2095.0
Otto_Hoetzsch,1652.0
Otto_Lee,4100.0
P._K._van_der_Byl,23443.0
P._Parameswaran,6857.0
Paddy_O'Callaghan,1350.0
Paolo_Orano,2503.0
Parker_Griffith,14732.0
Pasqual_Maragall_i_Mira,4694.0
Patricia_R._Bellock,2414.0
Paul_Janson,1876.0
Paul_Kronacker,1120.0
Paul_Levi,14511.0
Pedro_Montt,5204.0
Peter_Bossman,8461.0
Peter_F._Krogh,2304.0
Peter_Gingold,3990.0
Peter_Naholo,810.0
Petko_Slaveykov,3869.0
Petro_Symonenko,9196.0
Phuntsok_Wangyal,3255.0
Piet_de_Jong,34059.0
Pon_Radhakrishnan,44632.0
Prince_Louis_Rwagasore,8825.0
Priscilla_Misihairabwi-Mushonga,2109.0
Proco_Joe_Moreno,6971.0
Prosper_Duvergier_de_Hauranne,1136.0
Quincy_Timberlake,5106.0
Raad_Shallal_al-Ani,924.0
Rabindra_Pratap_Shah,1908.0
Rafael_Francisco_Amador_Campos,989.0
Ralph_A._Gamble,1873.0
Ramazan_Bashardost,5418.0
Rattan_Singh_Ajnala,1982.0
Raul_Manglapus,10797.0
Rawya_Saud_Al_Busaidi,2331.0
Ray_Stevens_(politician),2756.0
Richard_Davey_(MP),1254.0
Richard_Salwey,1145.0
Rigoberta_Menchú,154849.0
Rik_Torfs,5475.0
Riza_Sapunxhiu,3656.0
Rob_Munro,1013.0
Robert_Condon,2105.0
Robert_Libman,4427.0
Robert_Sharman-Crawford,1374.0
Robert_Tillmanns,1292.0
Rod_Donald,5015.0
Rodolfo_Elizondo_Torres,1358.0
Roger_van_Boxtel,3395.0
Rolf_Gerhardsen,980.0
Ron_Clarke,34321.0
Rosalia_Zemlyachka,7346.0
Ryan_Frazier,15910.0
S._S._Ahluwalia,26796.0
Saburo_Okita,6950.0
Sachin_Ahir,23672.0
Sajeeb_Wazed,60003.0
Salih_Mahmoud_Osman,3709.0
Sam_Ratulangi,9003.0
Samir_al-Rifai,4298.0
Samuel_Miller_Quincy,2025.0
Sanjay_Singh_Chauhan,2225.0
"Sayeeda_Warsi,_Baroness_Warsi",112215.0
Seamus_Mallon,14487.0
Seamus_O'Regan,50587.0
Shadi_Taha,1260.0
Shamsul_Huq,5740.0
Sharon_Ebanks,3148.0
