file,size
pagecounts-20100110-070000.gz,59.0
pagecounts-20100110-080000.gz,58.0
pagecounts-20100110-090000.gz,58.0
pagecounts-20100110-100000.gz,57.0
pagecounts-20100110-110001.gz,61.0
pagecounts-20100110-120000.gz,61.0
pagecounts-20100110-130000.gz,61.0
pagecounts-20100110-140000.gz,61.0
pagecounts-20100110-150000.gz,61.0
pagecounts-20100110-160000.gz,60.0
pagecounts-20100110-170000.gz,59.0
pagecounts-20100110-180000.gz,60.0
pagecounts-20100110-190000.gz,60.0
pagecounts-20100110-200000.gz,59.0
pagecounts-20100110-210000.gz,59.0
pagecounts-20100110-220001.gz,60.0
pagecounts-20100110-230000.gz,60.0
pagecounts-20100111-000000.gz,60.0
pagecounts-20100111-010000.gz,64.0
pagecounts-20100111-020000.gz,63.0
pagecounts-20100111-030000.gz,64.0
pagecounts-20100111-040000.gz,64.0
pagecounts-20100111-050000.gz,63.0
pagecounts-20100111-060000.gz,61.0
pagecounts-20100111-070000.gz,64.0
pagecounts-20100111-080000.gz,66.0
pagecounts-20100111-090000.gz,70.0
pagecounts-20100111-100001.gz,70.0
pagecounts-20100111-110000.gz,70.0
pagecounts-20100111-120000.gz,69.0
pagecounts-20100111-130000.gz,63.0
pagecounts-20100111-140000.gz,60.0
pagecounts-20100111-150000.gz,50.0
pagecounts-20100111-160000.gz,48.0
pagecounts-20100111-170000.gz,53.0
pagecounts-20100111-180000.gz,58.0
pagecounts-20100111-190000.gz,58.0
pagecounts-20100111-200001.gz,60.0
pagecounts-20100111-210000.gz,60.0
pagecounts-20100111-220000.gz,59.0
pagecounts-20100111-230000.gz,64.0
pagecounts-20100112-000000.gz,63.0
pagecounts-20100112-010000.gz,64.0
pagecounts-20100112-020000.gz,64.0
pagecounts-20100112-030000.gz,64.0
pagecounts-20100112-040000.gz,63.0
pagecounts-20100112-050000.gz,64.0
pagecounts-20100112-060000.gz,63.0
pagecounts-20100112-070001.gz,63.0
pagecounts-20100112-080000.gz,66.0
pagecounts-20100112-090000.gz,71.0
pagecounts-20100112-100000.gz,72.0
pagecounts-20100112-110000.gz,75.0
pagecounts-20100112-120000.gz,74.0
pagecounts-20100112-130000.gz,70.0
pagecounts-20100112-140000.gz,68.0
pagecounts-20100112-150000.gz,66.0
pagecounts-20100112-160000.gz,66.0
pagecounts-20100112-170000.gz,64.0
pagecounts-20100112-180001.gz,63.0
pagecounts-20100112-190000.gz,62.0
pagecounts-20100112-200000.gz,63.0
pagecounts-20100112-210000.gz,64.0
pagecounts-20100112-220000.gz,65.0
pagecounts-20100112-230000.gz,66.0
pagecounts-20100113-000000.gz,64.0
pagecounts-20100113-010000.gz,64.0
pagecounts-20100113-020000.gz,62.0
pagecounts-20100113-030000.gz,62.0
pagecounts-20100113-040001.gz,62.0
pagecounts-20100113-050000.gz,62.0
pagecounts-20100113-060000.gz,60.0
pagecounts-20100113-070000.gz,59.0
pagecounts-20100113-080000.gz,61.0
pagecounts-20100113-090000.gz,64.0
pagecounts-20100113-100000.gz,63.0
pagecounts-20100113-110000.gz,63.0
pagecounts-20100113-120000.gz,72.0
pagecounts-20100113-130000.gz,65.0
pagecounts-20100113-140000.gz,63.0
pagecounts-20100113-150001.gz,62.0
pagecounts-20100113-160000.gz,64.0
pagecounts-20100113-170000.gz,63.0
pagecounts-20100113-180000.gz,63.0
pagecounts-20100113-190000.gz,62.0
pagecounts-20100113-200000.gz,62.0
pagecounts-20100113-210000.gz,63.0
pagecounts-20100113-220000.gz,62.0
pagecounts-20100113-230000.gz,63.0
pagecounts-20100114-000000.gz,61.0
pagecounts-20100114-010001.gz,66.0
pagecounts-20100114-020000.gz,62.0
pagecounts-20100114-030000.gz,62.0
pagecounts-20100114-040000.gz,61.0
pagecounts-20100114-050000.gz,59.0
pagecounts-20100114-060000.gz,59.0
pagecounts-20100114-070000.gz,62.0
pagecounts-20100114-080000.gz,65.0
pagecounts-20100114-090000.gz,68.0
pagecounts-20100114-100000.gz,70.0
pagecounts-20100114-110000.gz,70.0
pagecounts-20100114-120001.gz,69.0
pagecounts-20100114-130000.gz,63.0
pagecounts-20100114-140000.gz,62.0
pagecounts-20100114-150000.gz,63.0
pagecounts-20100114-160000.gz,65.0
pagecounts-20100114-170000.gz,66.0
pagecounts-20100114-180000.gz,63.0
pagecounts-20100114-190000.gz,63.0
pagecounts-20100114-200000.gz,64.0
pagecounts-20100114-210000.gz,65.0
pagecounts-20100114-220000.gz,66.0
pagecounts-20100114-230000.gz,67.0
pagecounts-20100115-000001.gz,62.0
pagecounts-20100115-010000.gz,64.0
pagecounts-20100115-020000.gz,65.0
pagecounts-20100115-030000.gz,60.0
pagecounts-20100115-040000.gz,54.0
pagecounts-20100115-050000.gz,52.0
pagecounts-20100115-060000.gz,51.0
pagecounts-20100115-070000.gz,61.0
pagecounts-20100115-080000.gz,67.0
pagecounts-20100115-090000.gz,70.0
pagecounts-20100115-100000.gz,73.0
pagecounts-20100115-110001.gz,74.0
pagecounts-20100115-120000.gz,74.0
pagecounts-20100115-130000.gz,68.0
pagecounts-20100115-140000.gz,68.0
pagecounts-20100115-150000.gz,67.0
pagecounts-20100115-160000.gz,67.0
pagecounts-20100115-170000.gz,67.0
pagecounts-20100115-180000.gz,65.0
pagecounts-20100115-190000.gz,65.0
pagecounts-20100115-200001.gz,65.0
pagecounts-20100115-210000.gz,66.0
pagecounts-20100115-220000.gz,68.0
pagecounts-20100115-230000.gz,68.0
pagecounts-20100116-000000.gz,64.0
pagecounts-20100116-010000.gz,67.0
pagecounts-20100116-020000.gz,65.0
pagecounts-20100116-030000.gz,65.0
pagecounts-20100116-040000.gz,63.0
pagecounts-20100116-050000.gz,61.0
pagecounts-20100116-060000.gz,60.0
pagecounts-20100116-070001.gz,61.0
pagecounts-20100116-080000.gz,62.0
pagecounts-20100116-090000.gz,65.0
pagecounts-20100116-100000.gz,69.0
pagecounts-20100116-110000.gz,71.0
pagecounts-20100116-120000.gz,71.0
pagecounts-20100116-130000.gz,66.0
pagecounts-20100116-140000.gz,68.0
pagecounts-20100116-150000.gz,67.0
pagecounts-20100116-160000.gz,66.0
pagecounts-20100116-170001.gz,69.0
pagecounts-20100116-180000.gz,69.0
pagecounts-20100116-190000.gz,68.0
pagecounts-20100116-200000.gz,68.0
pagecounts-20100116-210000.gz,69.0
pagecounts-20100116-220000.gz,69.0
pagecounts-20100116-230000.gz,68.0
pagecounts-20100117-000000.gz,65.0
pagecounts-20100117-010000.gz,67.0
pagecounts-20100117-020000.gz,67.0
pagecounts-20100117-030001.gz,66.0
pagecounts-20100117-040000.gz,64.0
pagecounts-20100117-050000.gz,63.0
pagecounts-20100117-060000.gz,62.0
pagecounts-20100117-070000.gz,62.0
pagecounts-20100117-080000.gz,63.0
pagecounts-20100117-090000.gz,66.0
pagecounts-20100117-100000.gz,70.0
pagecounts-20100117-110000.gz,74.0
pagecounts-20100117-120000.gz,74.0
pagecounts-20100117-130001.gz,69.0
pagecounts-20100117-140000.gz,67.0
pagecounts-20100117-150000.gz,67.0
pagecounts-20100117-160000.gz,67.0
pagecounts-20100117-170000.gz,67.0
pagecounts-20100117-180000.gz,65.0
pagecounts-20100117-190000.gz,63.0
pagecounts-20100117-200000.gz,63.0
pagecounts-20100117-210000.gz,63.0
pagecounts-20100117-220000.gz,63.0
pagecounts-20100117-230001.gz,65.0
pagecounts-20100118-000000.gz,62.0
pagecounts-20100118-010000.gz,62.0
pagecounts-20100118-020000.gz,62.0
pagecounts-20100118-030000.gz,61.0
pagecounts-20100118-040000.gz,63.0
pagecounts-20100118-050000.gz,62.0
pagecounts-20100118-060000.gz,61.0
pagecounts-20100118-070000.gz,64.0
pagecounts-20100118-080000.gz,68.0
pagecounts-20100118-090000.gz,69.0
pagecounts-20100118-100001.gz,73.0
pagecounts-20100118-110000.gz,74.0
pagecounts-20100118-120000.gz,74.0
pagecounts-20100118-130000.gz,68.0
pagecounts-20100118-140000.gz,67.0
pagecounts-20100118-150000.gz,67.0
pagecounts-20100118-160000.gz,65.0
pagecounts-20100118-170000.gz,64.0
pagecounts-20100118-180000.gz,63.0
pagecounts-20100118-190000.gz,63.0
pagecounts-20100118-200001.gz,61.0
pagecounts-20100118-210000.gz,61.0
pagecounts-20100118-220000.gz,65.0
pagecounts-20100118-230000.gz,65.0
pagecounts-20100119-000000.gz,65.0
pagecounts-20100119-010000.gz,65.0
pagecounts-20100119-020000.gz,63.0
pagecounts-20100119-030000.gz,64.0
pagecounts-20100119-040000.gz,63.0
pagecounts-20100119-050000.gz,61.0
pagecounts-20100119-060001.gz,61.0
pagecounts-20100119-070000.gz,62.0
pagecounts-20100119-080000.gz,65.0
pagecounts-20100119-090000.gz,69.0
pagecounts-20100119-100000.gz,72.0
pagecounts-20100119-110000.gz,74.0
pagecounts-20100119-120000.gz,68.0
pagecounts-20100119-130000.gz,67.0
pagecounts-20100119-140000.gz,68.0
pagecounts-20100119-150000.gz,67.0
pagecounts-20100119-160000.gz,66.0
pagecounts-20100119-170001.gz,65.0
pagecounts-20100119-180000.gz,64.0
pagecounts-20100119-190000.gz,64.0
pagecounts-20100119-200000.gz,64.0
pagecounts-20100119-210000.gz,62.0
pagecounts-20100119-220000.gz,60.0
pagecounts-20100119-230000.gz,61.0
pagecounts-20100120-000000.gz,57.0
pagecounts-20100120-010000.gz,61.0
pagecounts-20100120-020000.gz,63.0
pagecounts-20100120-030001.gz,59.0
pagecounts-20100120-040000.gz,59.0
pagecounts-20100120-050000.gz,60.0
pagecounts-20100120-060000.gz,62.0
pagecounts-20100120-070000.gz,64.0
pagecounts-20100120-080000.gz,68.0
pagecounts-20100120-090000.gz,73.0
pagecounts-20100120-100000.gz,74.0
pagecounts-20100120-110000.gz,74.0
pagecounts-20100120-120001.gz,74.0
pagecounts-20100120-130000.gz,68.0
pagecounts-20100120-140000.gz,66.0
pagecounts-20100120-150000.gz,66.0
pagecounts-20100120-160000.gz,65.0
pagecounts-20100120-170000.gz,64.0
pagecounts-20100120-180000.gz,64.0
pagecounts-20100120-190000.gz,63.0
pagecounts-20100120-200000.gz,63.0
