ID,url_name
697386,Abel_Thauley-Ganga
697395,Aline_Mackinnon
697397,Emilse_Miranda_Munive
697406,Debaprasad_Ghosh
69915,Constand_Viljoen
697466,P._Narayana_Menon
697495,Avi_Duan
697503,Ingeborg_Botnen
697507,Li_Quanzhong
697533,Kailash_Vijayvargiya
697556,Paul_C._Barth
697570,Henry_Coston
697584,P._G._N._Unnithan
697612,Oleh_Rybachuk
697675,Petru_Pascari
69932,Choi_Kyu-hah
697697,Samuel_P._Huntington
697727,Robert_Forgan
697763,Carlo_Dossi
697773,Jeannette_Knoll
697780,Li_Kenong
697819,V._C._Chandhirakumar
697841,V._S._Srinivasa_Sastri
697851,José_Joaquín_de_Viana
697866,M._A._Kadar
697896,Scott_Hochberg
69962,A._Ponnusamy
697908,Vasco_Errani
697924,Jerzy_Budnik
697935,Ahmed_Haj_Ali
697941,Giulio_Tremonti
697972,Joel_Barnett
697984,Richard_Devlin
698025,Gwyn_R_Price
698027,Firas_Tlass
698042,Lawrence_Martin_(musician)
698063,Bandana_Kumari
69965,Wesley_Chesbro
698068,Olaf_Fink
698085,Kentaro_Koba
698090,Charles_Cathmer_Ross
698124,KP_Vivekananda
698129,Antonio_de_Benavides_y_Fernández_de_Navarrete
698149,Sam_Franklyn_Gibson
698151,Jacques_Mitterrand
698153,André_Denys
698155,Manoj_Kumar_(Delhi_politician)
698164,Jim_McMahon_(politician)
69968,Maria_da_Conceição_Tavares
698165,Henri_Lopès
698167,Fareeda_Kuchi_Balkhi
698180,Sara_Howard
698195,P._Theagaraya_Chetty
698227,Erland_Steenberg
698249,Arnie_Fielkow
698252,Andrej_Danko_(politician)
698264,Ali_Kılıç
698269,Koen_Geens
698274,Miodrag_Živković
69994,Jerônimo_Garcia_de_Santana
698277,Rahamim_Malul
698281,Arimilli_Radha_Krishna
698300,Li_Ximing
698304,Faustino_Harrison
698314,Goji_Sakamoto
698387,Baron_Anton_von_Doblhoff-Dier
698410,Tom_Strømstad_Olsen
698421,Marcel_Rigout
698442,Iñaki_Antigüedad
698446,Khwairakpam_Loken_Singh
7144,Lalmohan_Ghosh
70003,Charles_Larkin
698450,Wilopo
698467,José_Montilla
698486,Gian_Marco_Centinaio
698495,Damcho_Dorji
698508,Philip_Au
698544,Vijay_Krishna
